ReviewID,SentenceID,Text,OpinionTarget,Category,Polarity,From,To
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:8,As it was served with some mashed potato and fennel pickle this reminded me of meals in Bavaria in the 1980's,NULL,FOOD#STYLE_OPTIONS,neutral,0,0
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:9,Not good,NULL,RESTAURANT#GENERAL,negative,0,0
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:10,Overall the meal and drinks were expensive and did not really deliver good value for the price paid,drinks,DRINKS#PRICES,negative,21,27
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:10,Overall the meal and drinks were expensive and did not really deliver good value for the price paid,meal,FOOD#PRICES,negative,12,16
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:10,Overall the meal and drinks were expensive and did not really deliver good value for the price paid,drinks,DRINKS#QUALITY,negative,21,27
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:10,Overall the meal and drinks were expensive and did not really deliver good value for the price paid,meal,FOOD#QUALITY,negative,12,16
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:11,Negative,NULL,RESTAURANT#GENERAL,negative,0,0
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:12,I watched waiter who was setting up a table blow something from the side plate to get rid of it,waiter,SERVICE#GENERAL,negative,10,16
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:13,This certainly clouded my overall experience.,NULL,RESTAURANT#GENERAL,negative,0,0
d680501-g186338-UID_208D1FF8BC4CF66CC786FD665F0E14B1-REW0,d680501-g186338-UID_208D1FF8BC4CF66CC786FD665F0E14B1-REW0:0,Sept 2011,,,,,
d680501-g186338-UID_208D1FF8BC4CF66CC786FD665F0E14B1-REW0,d680501-g186338-UID_208D1FF8BC4CF66CC786FD665F0E14B1-REW0:1,"Celebrating Birthdays, Retirement and an Anniversary - Staff wonderful, Fantastic setting - Food and Drink excellent - will return",NULL,RESTAURANT#GENERAL,positive,0,0
d680501-g186338-UID_208D1FF8BC4CF66CC786FD665F0E14B1-REW0,d680501-g186338-UID_208D1FF8BC4CF66CC786FD665F0E14B1-REW0:1,"Celebrating Birthdays, Retirement and an Anniversary - Staff wonderful, Fantastic setting - Food and Drink excellent - will return",Drink,DRINKS#QUALITY,positive,101,106
d680501-g186338-UID_208D1FF8BC4CF66CC786FD665F0E14B1-REW0,d680501-g186338-UID_208D1FF8BC4CF66CC786FD665F0E14B1-REW0:1,"Celebrating Birthdays, Retirement and an Anniversary - Staff wonderful, Fantastic setting - Food and Drink excellent - will return",setting,AMBIENCE#GENERAL,positive,82,89
d680501-g186338-UID_208D1FF8BC4CF66CC786FD665F0E14B1-REW0,d680501-g186338-UID_208D1FF8BC4CF66CC786FD665F0E14B1-REW0:1,"Celebrating Birthdays, Retirement and an Anniversary - Staff wonderful, Fantastic setting - Food and Drink excellent - will return",Food,FOOD#QUALITY,positive,92,96
d680501-g186338-UID_208D1FF8BC4CF66CC786FD665F0E14B1-REW0,d680501-g186338-UID_208D1FF8BC4CF66CC786FD665F0E14B1-REW0:1,"Celebrating Birthdays, Retirement and an Anniversary - Staff wonderful, Fantastic setting - Food and Drink excellent - will return",Staff,SERVICE#GENERAL,positive,55,60
d680501-g186338-UID_240E859B55300F2B30C5B0EB6032F57C-REW0,d680501-g186338-UID_240E859B55300F2B30C5B0EB6032F57C-REW0:0,Enjoyable!,NULL,RESTAURANT#GENERAL,positive,0,0
d680501-g186338-UID_240E859B55300F2B30C5B0EB6032F57C-REW0,d680501-g186338-UID_240E859B55300F2B30C5B0EB6032F57C-REW0:1,"We ate in the Restaurant rather than the Brasserie for a change and weren't disappointed however, this is, as you would expect, one of those restaurant where less is more (apart from the constant supply of bread to fill you up!) The wine list is good, but not the best value but you are also paying for the view of the London skyline (although it was terrible weather therefore the view wasn't that great unfortunately)",wine list,DRINKS#STYLE_OPTIONS,positive,233,242
d680501-g186338-UID_240E859B55300F2B30C5B0EB6032F57C-REW0,d680501-g186338-UID_240E859B55300F2B30C5B0EB6032F57C-REW0:1,"We ate in the Restaurant rather than the Brasserie for a change and weren't disappointed however, this is, as you would expect, one of those restaurant where less is more (apart from the constant supply of bread to fill you up!) The wine list is good, but not the best value but you are also paying for the view of the London skyline (although it was terrible weather therefore the view wasn't that great unfortunately)",view of the London skyline,LOCATION#GENERAL,positive,307,333
d680501-g186338-UID_240E859B55300F2B30C5B0EB6032F57C-REW0,d680501-g186338-UID_240E859B55300F2B30C5B0EB6032F57C-REW0:1,"We ate in the Restaurant rather than the Brasserie for a change and weren't disappointed however, this is, as you would expect, one of those restaurant where less is more (apart from the constant supply of bread to fill you up!) The wine list is good, but not the best value but you are also paying for the view of the London skyline (although it was terrible weather therefore the view wasn't that great unfortunately)",wine list,DRINKS#PRICES,negative,233,242
d680501-g186338-UID_240E859B55300F2B30C5B0EB6032F57C-REW0,d680501-g186338-UID_240E859B55300F2B30C5B0EB6032F57C-REW0:2,It's a bit too canteeny for our liking but we were glad we visited,NULL,RESTAURANT#GENERAL,neutral,0,0
d680501-g186338-UID_240E859B55300F2B30C5B0EB6032F57C-REW0,d680501-g186338-UID_240E859B55300F2B30C5B0EB6032F57C-REW0:3,"As is often the case, trying to catch the waiter's eye in order to get the bill want an easy task, it took ages...",waiter,SERVICE#GENERAL,negative,42,48
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:0,I felt ripped off on the night...and still do so day after!,NULL,RESTAURANT#PRICES,negative,0,0
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:1,After my latest visit I want to down-rate this place! 4 of us went to the restaurant last night and we all came away very underwhelmed after parting with £400...even after they took £40 off the bill,bill,RESTAURANT#PRICES,negative,194,198
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:1,After my latest visit I want to down-rate this place! 4 of us went to the restaurant last night and we all came away very underwhelmed after parting with £400...even after they took £40 off the bill,place,RESTAURANT#GENERAL,negative,47,52
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:1,After my latest visit I want to down-rate this place! 4 of us went to the restaurant last night and we all came away very underwhelmed after parting with £400...even after they took £40 off the bill,NULL,RESTAURANT#PRICES,negative,0,0
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:2,"Our evening was such that I would suggest that people think long and hard and look at the prices before booking the restaurant and think about the brasserie as a possible alternative, or somewhere else",prices,RESTAURANT#PRICES,negative,90,96
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:3,We has been to Skylon for drinks just before and wished we had stayed for dinner!!!I don't mind spending the money when I think it is worth it,,,,,
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:4,Unfortunately last night was not and it has put me off the place,NULL,RESTAURANT#GENERAL,negative,0,0
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:5,Brief rundown...Langoustines... £16...5 small pieces (size of 5 prawns!)...Lobster Tempura...£20...in fairness this was amazing with a lot of lobster,Lobster Tempura,FOOD#QUALITY,positive,75,90
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:5,Brief rundown...Langoustines... £16...5 small pieces (size of 5 prawns!)...Lobster Tempura...£20...in fairness this was amazing with a lot of lobster,Lobster Tempura,FOOD#STYLE_OPTIONS,positive,75,90
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:6,"Scallops...£22.5...3 scallops, cooked well...but 3!Pot roast cod...£24.5...cod was perfect",Scallops,FOOD#QUALITY,positive,0,8
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:6,"Scallops...£22.5...3 scallops, cooked well...but 3!Pot roast cod...£24.5...cod was perfect",Scallops,FOOD#STYLE_OPTIONS,negative,0,8
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:6,"Scallops...£22.5...3 scallops, cooked well...but 3!Pot roast cod...£24.5...cod was perfect",Pot roast cod,FOOD#QUALITY,positive,51,64
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:7,"However, the onion compote was more like SAUERKRAUT...and was vile and spoiled the dish",onion compote,FOOD#QUALITY,negative,13,26
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:8,They took this off the bill...our waitress said that it was not ordered very much!Monkfish...£27.5...nothing to write home about,,,,,
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:9,Venison...£29.5...this was very good and decent portion...Fries were not on the menu but we asked for some and they did oblige and they were very good...brownie points for this,Venison,FOOD#QUALITY,positive,0,7
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:9,Venison...£29.5...this was very good and decent portion...Fries were not on the menu but we asked for some and they did oblige and they were very good...brownie points for this,Venison,FOOD#STYLE_OPTIONS,positive,0,7
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:9,Venison...£29.5...this was very good and decent portion...Fries were not on the menu but we asked for some and they did oblige and they were very good...brownie points for this,Fries,FOOD#QUALITY,positive,58,63
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:10,"Unfortunately in no way did the good make up for the bad!Finally, the view is amazing but you pay for it",NULL,RESTAURANT#GENERAL,negative,0,0
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:10,"Unfortunately in no way did the good make up for the bad!Finally, the view is amazing but you pay for it",NULL,RESTAURANT#PRICES,negative,0,0
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:10,"Unfortunately in no way did the good make up for the bad!Finally, the view is amazing but you pay for it",view,LOCATION#GENERAL,positive,70,74
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW0:11,"OXO no longer have a monopoly on such views....e.g. Skylon, Paramount etc.",,,,,
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1:0,Fantastic view...good food...research before you book!,food,FOOD#QUALITY,positive,22,26
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1:0,Fantastic view...good food...research before you book!,view,LOCATION#GENERAL,positive,10,14
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1:1,"Restaurant or brasserie? Restaurant (fine dining) will be circa £60 for food alone (3 courses), Brasserie circa £30",dining,FOOD#QUALITY,positive,42,48
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1:2,"The fantastic view is the same so it depends on your reson for going...dinner for 2, group dinner, business etc",view,LOCATION#GENERAL,positive,14,18
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1:3,I tend to go for the brasserie for v.f.m,,,,,
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1:4,My tips: 1,,,,,
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1:5,visit the website: http://www.harveynichols,,,,,
d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1,d680501-g186338-UID_278678ADC65A8C6216A850E4763BF3D7-REW1:6,Try and get a table close to the window for the best view (or on the terrace if the weather is good enough).,view,LOCATION#GENERAL,positive,53,57
d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0,d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0:0,Impressed,NULL,RESTAURANT#GENERAL,positive,0,0
d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0,d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0:1,So I had prebooked tables to accommodate 30 people for a work function on a Friday afternoon,,,,,
d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0,d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0:2,The Brasserie is a busy restaurant with super river views,river views,LOCATION#GENERAL,positive,46,57
d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0,d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0:3,Usually I am always disappointed when we try and cater for this number of people,,,,,
d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0,d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0:4,On this occasion the restaurant did a great job,restaurant,RESTAURANT#GENERAL,positive,21,31
d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0,d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0:5,We had a menu of 3 courses with a choice from four dishes each course,menu,FOOD#STYLE_OPTIONS,positive,9,13
d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0,d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0:6,All of the food that came out was of excellent quality and nicely presented,food,FOOD#STYLE_OPTIONS,positive,11,15
d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0,d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0:6,All of the food that came out was of excellent quality and nicely presented,food,FOOD#QUALITY,positive,11,15
d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0,d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0:7,Wine choices were excellent and the staff throughout were brilliant,Wine choices,DRINKS#QUALITY,positive,0,12
d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0,d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0:7,Wine choices were excellent and the staff throughout were brilliant,staff,SERVICE#GENERAL,positive,36,41
d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0,d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0:8,The prices were very reasonable also,prices,RESTAURANT#PRICES,positive,4,10
d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0,d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0:9,It well overachieved my expectation,NULL,RESTAURANT#GENERAL,positive,0,0
d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0,d680501-g186338-UID_A9378C8192E0C605939EF2BA25200181-REW0:10,Very impressed.,NULL,RESTAURANT#GENERAL,positive,0,0
d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0,d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0:0,Very enjoyable lunch,NULL,RESTAURANT#GENERAL,positive,0,0
d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0,d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0:1,You don't go to the Oxo Tower Brasserie for a quiet meal in relaxing surroundings,NULL,AMBIENCE#GENERAL,positive,0,0
d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0,d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0:2,"This is a restaurant with a buzz - open plan kitchen, lots of action, tables which are close together, high ceilings and not one thing in the place to deaden the noise and chatter",NULL,AMBIENCE#GENERAL,positive,0,0
d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0,d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0:2,"This is a restaurant with a buzz - open plan kitchen, lots of action, tables which are close together, high ceilings and not one thing in the place to deaden the noise and chatter",restaurant,RESTAURANT#GENERAL,positive,10,20
d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0,d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0:3,Despite all this we loved it,NULL,RESTAURANT#GENERAL,positive,0,0
d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0,d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0:4,It makes a change sometimes to go somewhere where there is such an atmosphere and not eat in a restaurant where you feel you cannot talk above a whisper,atmosphere,AMBIENCE#GENERAL,positive,67,77
d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0,d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0:5,"The choice on the menu and the meals served were very good whilst the service was excellent - attentive, friendly and not rushed",menu,FOOD#STYLE_OPTIONS,positive,18,22
d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0,d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0:5,"The choice on the menu and the meals served were very good whilst the service was excellent - attentive, friendly and not rushed",service,SERVICE#GENERAL,positive,70,77
d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0,d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0:5,"The choice on the menu and the meals served were very good whilst the service was excellent - attentive, friendly and not rushed",meals,FOOD#QUALITY,positive,31,36
d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0,d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0:6,"However, we would be so happy to return again, especially in better weather where you could sit outside on the terrace.",NULL,RESTAURANT#GENERAL,positive,0,0
d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0,d680501-g186338-UID_B376ACF8ECBDD3C28C776E642012D9C5-REW0:6,"However, we would be so happy to return again, especially in better weather where you could sit outside on the terrace.",terrace,AMBIENCE#GENERAL,positive,111,118
d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0,d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0:0,Noughts and crosses,,,,,
d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0,d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0:1,"I have not dined here in many a year, but the room and the view will always impress",view,LOCATION#GENERAL,positive,59,63
d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0,d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0:1,"I have not dined here in many a year, but the room and the view will always impress",room,AMBIENCE#GENERAL,positive,46,50
d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0,d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0:2,"The welcome was as cold as the December dour day outside , a drowning in the the Thames would have been more inviting! Happily the wait staff and, the wonderful sommelier brought a touch of Christmas cheer",wonderful sommelier,SERVICE#GENERAL,positive,151,170
d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0,d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0:2,"The welcome was as cold as the December dour day outside , a drowning in the the Thames would have been more inviting! Happily the wait staff and, the wonderful sommelier brought a touch of Christmas cheer",wait staff,SERVICE#GENERAL,positive,131,141
d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0,d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0:3,"The langoustine start was incredible as was the crab, mains of lamb and pork were slightly more heavy handed, no one likes un-rendered fat!Puddings were a joy, the soufflé was terrific",Puddings,FOOD#QUALITY,positive,139,147
d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0,d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0:3,"The langoustine start was incredible as was the crab, mains of lamb and pork were slightly more heavy handed, no one likes un-rendered fat!Puddings were a joy, the soufflé was terrific",crab,FOOD#QUALITY,positive,48,52
d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0,d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0:3,"The langoustine start was incredible as was the crab, mains of lamb and pork were slightly more heavy handed, no one likes un-rendered fat!Puddings were a joy, the soufflé was terrific",langoustine start,FOOD#QUALITY,positive,4,21
d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0,d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0:3,"The langoustine start was incredible as was the crab, mains of lamb and pork were slightly more heavy handed, no one likes un-rendered fat!Puddings were a joy, the soufflé was terrific",pork,FOOD#QUALITY,negative,72,76
d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0,d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0:3,"The langoustine start was incredible as was the crab, mains of lamb and pork were slightly more heavy handed, no one likes un-rendered fat!Puddings were a joy, the soufflé was terrific",lamb,FOOD#QUALITY,negative,54,67
d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0,d680501-g186338-UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A-REW0:4,I will certainly be returning again and with a few tweaks it would be a more regular experience.,NULL,RESTAURANT#GENERAL,positive,0,0
d680501-g186338-UID_4418848C0132A92D49B45E4A7D0725C1-REW0,d680501-g186338-UID_4418848C0132A92D49B45E4A7D0725C1-REW0:0,It's location location location,location,LOCATION#GENERAL,positive,5,13
d680501-g186338-UID_4418848C0132A92D49B45E4A7D0725C1-REW0,d680501-g186338-UID_4418848C0132A92D49B45E4A7D0725C1-REW0:1,"And the food is ok, nothing to write home about, Skylon has an equally good view and is better and better value",food,FOOD#QUALITY,neutral,8,12
d680501-g186338-UID_3673B9FBA46A6B4697FDA1CFEA07991E-REW0,d680501-g186338-UID_3673B9FBA46A6B4697FDA1CFEA07991E-REW0:0,Manager saved the day,Manager,SERVICE#GENERAL,positive,0,7
d680501-g186338-UID_3673B9FBA46A6B4697FDA1CFEA07991E-REW0,d680501-g186338-UID_3673B9FBA46A6B4697FDA1CFEA07991E-REW0:1,A visit that was going wrong as a result of poor service was turned on its head by the manager when I told her of our issues with our server,service,SERVICE#GENERAL,negative,50,57
d680501-g186338-UID_3673B9FBA46A6B4697FDA1CFEA07991E-REW0,d680501-g186338-UID_3673B9FBA46A6B4697FDA1CFEA07991E-REW0:1,A visit that was going wrong as a result of poor service was turned on its head by the manager when I told her of our issues with our server,manager,SERVICE#GENERAL,positive,87,94
d680501-g186338-UID_3673B9FBA46A6B4697FDA1CFEA07991E-REW0,d680501-g186338-UID_3673B9FBA46A6B4697FDA1CFEA07991E-REW0:2,A poor experience was turned into a good one,NULL,RESTAURANT#GENERAL,positive,0,0
d680501-g186338-UID_3673B9FBA46A6B4697FDA1CFEA07991E-REW0,d680501-g186338-UID_3673B9FBA46A6B4697FDA1CFEA07991E-REW0:3,Great views from the terrace,views,LOCATION#GENERAL,positive,6,11
d680501-g186338-UID_3673B9FBA46A6B4697FDA1CFEA07991E-REW0,d680501-g186338-UID_3673B9FBA46A6B4697FDA1CFEA07991E-REW0:4,Prices top end but worth it for the view and the atmosphere.,view,LOCATION#GENERAL,positive,36,40
